time,ticks,tempo_hz,hdr_ms_tick,whole_ms,vnn_update_ms,snap_ms,snap_pct_log,snap_calls,ratio_calc
20:49:25,24198,6.594,73.1,73.09,29.98,51.43,70.4,1.0,70.36530305103297
20:50:25,24522,6.574,55.8,55.79,18.2,47.33,84.8,1.0,84.83599211328195
20:51:25,24852,6.557,55.3,55.32,18.73,42.48,76.8,1.1,76.78958785249458
20:52:25,25157,6.534,40.9,40.92,11.73,41.07,100.3,0.9,100.366568914956
20:53:25,25434,6.505,76.7,76.66,21.91,67.2,87.6,1.2,87.65979650404384
20:54:25,25698,6.473,77.0,76.97,16.69,65.12,84.6,1.2,84.60439132129402
20:55:25,25926,6.432,304.9,304.85,20.21,130.37,42.8,2.7,42.76529440708545
20:56:25,26121,6.385,63.2,63.19,18.83,56.14,88.8,1.3,88.84317138787783
20:57:25,26382,6.356,58.9,58.9,16.57,63.07,107.1,1.2,107.07979626485569
20:58:26,26654,6.329,52.6,52.57,12.17,52.92,100.6,1.1,100.66577896138482
20:59:26,26933,6.306,46.8,46.76,14.03,48.35,103.4,0.9,103.40034217279727
21:00:26,27228,6.286,65.3,65.25,14.18,52.68,80.7,1.0,80.73563218390805
21:01:26,27528,6.269,53.6,53.56,11.93,57.27,106.9,1.1,106.92681105302464
21:02:26,27834,6.252,69.0,68.94,17.23,62.21,90.2,1.1,90.23788801856688
21:03:26,28142,6.237,59.4,59.41,20.02,49.79,83.8,1.0,83.8074398249453
21:04:27,28446,6.222,77.8,77.83,30.7,67.05,86.1,1.2,86.1492997558782
21:05:27,28710,6.198,421.3,421.32,27.64,183.3,43.5,3.3,43.506123611506695
21:06:27,28953,6.17,90.7,90.69,19.5,70.88,78.1,1.4,78.15635681993605
21:07:27,29249,6.154,49.9,49.93,17.31,44.07,88.2,1.0,88.26356899659524
21:08:27,29534,6.137,64.1,64.09,16.54,60.27,94.0,1.2,94.03963176782649
21:09:27,29828,6.121,61.6,61.56,14.22,61.32,99.6,1.1,99.61013645224172
21:10:27,30116,6.105,71.6,71.56,16.11,59.04,82.5,1.0,82.5041922861934
21:11:28,30402,6.088,73.9,73.85,15.8,60.83,82.4,1.1,82.3696682464455
21:12:28,30689,6.073,46.7,46.71,18.88,49.71,106.4,1.0,106.42260757867695
21:13:28,30975,6.057,55.0,55.03,17.84,55.08,100.1,1.1,100.09085953116482
21:14:28,31262,6.043,58.9,58.91,19.59,59.23,100.5,1.1,100.54320149380412
21:15:28,31512,6.021,358.2,358.16,14.73,160.75,44.9,2.8,44.88217556399374
21:16:29,31746,5.997,62.8,62.82,14.42,53.89,85.8,1.1,85.78478191658708
21:17:29,32040,5.984,66.8,66.74,13.29,56.92,85.3,1.1,85.2861851962841
21:18:29,32336,5.972,59.2,59.23,18.54,58.2,98.2,1.0,98.26101637683607
21:19:29,32630,5.96,53.3,53.31,19.61,53.86,101.0,1.0,101.03170136934908
21:20:29,32923,5.949,56.5,56.48,16.48,54.02,95.6,1.1,95.6444759206799
21:21:29,33222,5.938,78.1,78.07,16.72,58.46,74.9,1.1,74.88151658767774
21:22:30,33527,5.929,50.7,50.7,18.03,58.84,116.0,1.0,116.05522682445759
21:23:30,33833,5.92,50.8,50.8,16.61,52.43,103.2,0.9,103.20866141732284
21:24:30,34126,5.909,64.7,64.51,20.79,53.84,83.2,0.9,83.45992869322585
21:25:31,34380,5.891,384.5,384.51,22.53,173.7,45.2,3.0,45.17437777951159
21:26:31,34620,5.871,62.0,62.02,14.33,59.41,95.8,1.1,95.79168010319252
21:27:31,34914,5.861,66.9,66.88,23.96,74.74,111.7,1.2,111.75239234449761
21:28:31,35198,5.85,55.7,55.69,15.4,71.8,128.9,1.2,128.92799425390555
21:29:32,35490,5.84,65.6,65.61,16.91,52.85,80.5,1.0,80.55174516079866
21:30:32,35790,5.832,56.9,56.91,18.95,51.85,91.1,0.9,91.10876823053945
21:31:32,36075,5.821,55.8,55.75,15.83,61.36,110.0,1.0,110.0627802690583
21:32:32,36363,5.811,50.0,49.99,16.78,66.16,132.3,1.0,132.34646929385877
21:33:32,36644,5.8,59.3,59.31,16.52,57.44,96.8,1.0,96.84707469229473
21:34:32,36933,5.791,71.7,71.68,19.26,55.59,77.5,1.0,77.55301339285714
21:35:32,37176,5.775,356.5,356.5,23.5,174.25,48.9,2.9,48.87798036465638
21:36:32,37412,5.758,55.0,54.96,13.38,62.28,113.3,1.1,113.31877729257641
21:37:32,37691,5.748,47.7,47.67,16.18,64.85,136.0,1.0,136.0394378015523
21:38:32,37975,5.738,65.2,65.21,24.19,49.81,76.4,0.9,76.38399018555437
21:39:32,38258,5.729,54.2,54.15,14.82,59.46,109.8,1.0,109.80609418282549
21:40:32,38536,5.719,70.7,70.67,15.12,59.65,84.4,1.1,84.40639592472053
21:41:33,38815,5.71,52.8,52.79,14.09,67.2,127.3,1.1,127.29683652206857
21:42:33,39097,5.701,67.3,67.31,23.4,69.31,103.0,1.2,102.97132669737037
21:43:33,39376,5.692,53.5,53.52,16.02,69.32,129.5,1.0,129.5216741405082
21:44:33,39659,5.683,52.0,51.99,18.12,56.62,108.9,1.0,108.90555876130024
21:45:33,39890,5.668,326.6,326.62,20.4,179.13,54.8,2.9,54.84354907843978
21:46:33,40112,5.651,75.5,75.47,22.71,73.84,97.8,1.2,97.8402014045316
21:47:33,40383,5.641,73.2,73.16,30.24,68.3,93.3,1.1,93.35702569710224
21:48:33,40650,5.631,67.6,67.57,21.01,66.87,98.9,1.1,98.9640372946574
21:49:33,40919,5.622,55.2,55.14,18.81,59.31,107.5,1.0,107.56256800870511
21:50:33,41190,5.613,81.6,81.62,26.45,77.12,94.5,1.2,94.48664543004165
21:51:34,41457,5.603,75.2,75.17,30.41,55.26,73.5,1.0,73.51336969535718
21:52:34,41718,5.593,67.2,67.22,18.11,68.57,102.0,1.1,102.00833085391251
21:53:34,41985,5.584,72.3,72.31,19.95,78.74,108.9,1.1,108.89226939565756
21:54:34,42249,5.574,60.7,60.64,16.41,75.06,123.8,1.2,123.7796833773087
21:55:34,42470,5.559,318.4,318.37,29.28,156.21,49.1,2.5,49.06555265885605
21:56:34,42692,5.545,81.4,81.28,21.17,71.84,88.2,1.2,88.38582677165354
21:57:34,42953,5.535,46.2,46.16,18.95,64.19,139.0,1.1,139.05979202772966
21:58:34,43208,5.526,66.1,66.07,13.69,80.47,121.8,1.2,121.7950658392614
21:59:34,43464,5.516,80.2,80.22,24.12,73.13,91.1,1.1,91.16180503615058
22:00:35,43732,5.508,57.8,57.74,14.3,74.87,129.6,1.1,129.66747488742638
22:01:35,43986,5.498,68.2,67.93,16.31,76.82,112.6,1.2,113.08700132489325
22:02:35,44246,5.49,56.6,56.56,15.51,68.68,121.4,1.1,121.42857142857144
22:03:35,44496,5.48,74.7,74.68,20.05,79.81,106.8,1.1,106.869309051955
22:04:35,44756,5.471,65.7,65.66,22.69,86.0,130.9,1.2,130.97776424002438
22:05:35,44972,5.457,371.5,371.46,22.84,186.51,50.2,2.9,50.20998223227266
22:06:35,45185,5.444,59.5,59.49,22.93,67.28,113.1,1.0,113.0946377542444
22:07:35,45439,5.435,72.9,72.94,24.77,72.91,99.9,1.1,99.95887030435975
22:08:35,45694,5.426,53.3,52.5,16.83,64.2,120.4,1.0,122.28571428571429
22:09:35,45945,5.418,71.2,71.23,21.6,67.95,95.4,1.2,95.39519865225326
22:10:36,46202,5.409,63.1,63.06,15.98,74.88,118.7,1.1,118.74405328258801
22:11:36,46461,5.402,68.7,68.72,16.5,68.62,99.8,1.1,99.85448195576252
22:12:36,46719,5.394,59.7,59.68,24.43,63.13,105.8,1.0,105.78083109919571
22:13:36,46986,5.387,64.5,64.47,21.51,67.98,105.4,1.1,105.44439274080968
22:14:36,47252,5.381,69.2,69.14,24.74,64.59,93.4,1.0,93.41914955163436
22:15:38,47472,5.368,414.9,414.87,26.19,205.82,49.6,3.2,49.61072143080965
22:16:38,47707,5.358,66.9,66.93,20.18,69.93,104.5,1.0,104.48229493500672
22:17:38,47974,5.352,71.5,71.45,28.46,71.77,100.4,1.0,100.44786564030791
22:18:38,48236,5.346,58.0,58.03,14.33,65.91,113.6,1.1,113.57918318111321
22:19:38,48506,5.34,52.6,52.6,19.02,66.73,126.8,1.0,126.86311787072243
22:20:38,48783,5.335,61.7,61.72,18.63,66.49,107.7,1.0,107.72845106934543
22:21:38,49054,5.33,58.4,58.42,15.65,70.97,121.5,1.0,121.48236905169462
22:22:38,49314,5.323,79.4,79.36,16.8,76.88,96.9,1.2,96.875
22:23:38,49580,5.318,89.8,89.78,18.58,85.18,94.9,1.2,94.87636444642459
22:24:39,49848,5.312,76.0,75.95,22.79,69.69,91.7,1.2,91.7577353522054
22:25:39,50054,5.3,345.6,345.63,22.26,186.62,54.0,2.8,53.99415559991899
22:26:39,50278,5.29,61.1,61.09,17.84,63.93,104.6,1.0,104.64887870355213
22:27:39,50542,5.284,60.8,60.79,12.92,67.96,111.8,1.0,111.79470307616383
22:28:39,50808,5.279,81.8,81.76,20.07,72.84,89.1,1.2,89.09001956947162
22:29:39,51075,5.274,66.3,66.09,18.61,70.99,107.1,1.0,107.4141322439098
22:30:39,51304,5.265,120.8,120.81,18.88,75.55,62.5,1.3,62.536213889578676
22:31:39,51524,5.255,136.4,136.34,29.46,90.16,66.1,1.5,66.12879565791404
22:32:39,51748,5.246,102.7,102.65,18.52,86.98,84.7,1.3,84.73453482708231
22:33:39,52013,5.241,62.9,62.87,21.89,71.68,114.0,1.0,114.01304278670274
22:34:39,52285,5.236,77.6,77.55,23.4,70.59,91.0,1.1,91.02514506769826
22:35:40,52498,5.226,312.7,312.69,27.85,163.25,52.2,2.5,52.208257379513256
22:36:40,52728,5.218,66.3,66.24,17.46,71.57,108.0,1.1,108.04649758454106
22:37:40,53006,5.214,65.5,65.48,19.46,63.89,97.6,0.9,97.5717776420281
22:38:40,53284,5.211,65.3,65.27,28.36,82.27,126.0,1.1,126.04565650375365
22:39:40,53566,5.208,72.4,72.38,15.38,76.65,105.9,1.1,105.89941972920698
22:40:40,53847,5.205,64.2,64.23,18.49,84.92,132.2,1.1,132.2123618246925
22:41:40,54119,5.201,64.1,64.12,20.18,66.34,103.4,1.0,103.46225826575171
22:42:40,54396,5.197,77.2,77.2,21.54,74.92,97.0,1.0,97.04663212435233
22:43:41,54678,5.195,66.6,66.62,18.75,71.98,108.0,1.0,108.04563194235965
22:44:41,54953,5.191,59.0,59.02,18.09,62.43,105.8,0.9,105.7777024737377
22:45:42,55164,5.181,459.9,459.87,35.19,223.78,48.7,3.3,48.66157827212038
22:46:42,55406,5.175,71.8,71.74,18.94,71.94,100.3,1.0,100.27878449958183
22:47:42,55682,5.171,61.0,61.0,17.85,61.35,100.6,0.9,100.57377049180327
22:48:42,55965,5.169,88.9,88.86,33.03,93.75,105.5,1.1,105.50303848750845
22:49:42,56244,5.166,74.1,74.11,17.3,81.0,109.3,1.1,109.2969909593847
22:50:42,56518,5.163,62.8,62.73,19.98,73.89,117.7,1.1,117.79053084648494
22:51:42,56778,5.158,82.8,82.78,26.64,79.63,96.2,1.1,96.19473302730128
22:52:43,57045,5.154,49.2,49.16,15.13,61.62,125.3,0.9,125.34580960130188
22:53:43,57318,5.151,75.3,75.3,30.78,75.32,100.0,1.1,100.02656042496679
22:54:43,57589,5.147,81.3,81.25,28.75,84.78,104.3,1.1,104.34461538461538
22:55:43,57796,5.138,370.2,370.19,25.34,219.75,59.4,2.8,59.361409006186015
22:56:43,58033,5.132,78.8,78.75,20.24,80.64,102.4,1.1,102.4
22:57:43,58301,5.128,73.7,73.67,15.72,87.28,118.4,1.1,118.47427718202796
22:58:43,58573,5.125,67.1,67.04,20.07,75.15,112.1,1.0,112.0972553699284
22:59:43,58846,5.122,61.2,61.18,18.11,72.56,118.6,0.9,118.60084995096437
23:00:43,59118,5.119,95.7,95.69,33.41,74.84,78.2,1.1,78.21088933012854
23:01:44,59394,5.116,72.5,72.49,23.5,80.72,111.3,1.0,111.35329010898056
23:02:44,59664,5.113,72.5,72.52,16.59,79.83,110.1,1.1,110.0799779371208
23:03:44,59932,5.11,73.6,73.56,25.29,75.75,103.0,1.0,102.97716150081565
23:04:44,60200,5.106,75.5,75.44,26.06,65.03,86.2,0.9,86.20095440084836
23:05:45,60402,5.097,511.9,511.87,28.06,257.32,50.3,3.5,50.270576513567896
23:06:45,60637,5.091,68.4,68.37,21.0,62.65,91.6,1.0,91.63375749597776
23:07:45,60900,5.087,103.5,103.45,14.59,93.14,90.0,1.2,90.03383276945384
23:08:45,61161,5.084,77.3,77.32,27.35,79.64,103.0,1.1,103.00051733057424
23:09:45,61415,5.079,66.2,66.16,24.33,75.63,114.3,1.0,114.31378476420798
23:10:46,61671,5.075,58.3,58.25,21.14,69.82,119.8,0.9,119.862660944206
23:11:46,61927,5.071,80.3,80.24,20.05,64.7,80.6,1.1,80.63310069790629
23:12:46,62179,5.067,68.4,68.35,22.89,83.49,122.1,1.1,122.15069495245064
23:13:46,62439,5.063,75.4,75.42,16.52,83.31,110.4,1.1,110.46141607000796
23:14:46,62692,5.059,75.6,75.54,22.16,106.68,141.2,1.2,141.22319301032564
23:15:47,62874,5.049,509.6,509.6,20.71,257.77,50.6,3.7,50.58281004709576
23:16:47,63100,5.043,67.8,67.79,14.17,81.65,120.4,1.1,120.44549343560998
23:17:47,63354,5.039,77.6,77.63,18.67,80.77,104.0,1.1,104.04482803040062
23:18:48,63620,5.036,80.4,80.4,22.56,79.4,98.7,1.1,98.75621890547264
23:19:48,63888,5.033,83.0,83.01,25.07,87.38,105.2,1.1,105.26442597277436
23:20:48,64152,5.03,89.6,89.58,26.39,87.03,97.1,1.1,97.15338245144005
23:21:48,64418,5.027,70.3,70.31,27.18,74.74,106.3,1.1,106.30066846821218
23:22:48,64677,5.024,87.4,87.35,27.88,85.98,98.4,1.1,98.43159702346881
23:23:49,64943,5.021,55.3,55.24,10.85,74.23,134.3,1.0,134.37726285300508
23:24:49,65202,5.018,107.2,107.24,21.29,104.59,97.5,1.3,97.5289071242074
23:25:50,65382,5.008,496.3,496.25,20.8,259.55,52.3,3.5,52.30226700251889
23:26:50,65618,5.003,74.5,74.53,22.45,89.56,120.2,1.1,120.16637595599087
